December 2018:  Regularly Scheduled Flights Canceled 5% or More  ,,,,
,,,,
,,,,
Row Number,,,Origin,Destination
962,,,BOS,MDT
963,,,CLT,TRI
964,,,BWI,MDW
965,,,OAK,LAX
966,,,AUS,DAL
967,,,LAX,OAK
968,,,DAL,ELP
969,,,DAL,MCO
970,,,MEM,DAL
971,,,DAL,FLL
972,,,OKC,DAL
973,,,LBB,LAS
974,,,DAL,LBB
975,,,HRL,DAL
976,,,DAL,LAX
977,,,AUS,LAS
978,,,BHM,DAL
979,,,DAL,SAT
980,,,STL,DAL
981,,,DCA,CMH
982,,,ABQ,HOU
983,,,LIT,DAL
984,,,DAL,BHM
985,,,DAL,SAT
986,,,OAK,BUR
987,,,BNA,MCO
988,,,BNA,DCA
989,,,MDW,ATL
990,,,PHX,DEN
991,,,DEN,ABQ
992,,,DEN,BUR
993,,,SFO,PHX
994,,,ATL,DAL
995,,,BWI,MCO
996,,,MCI,DAL
997,,,MAF,DAL
998,,,DAL,PHX
999,,,STL,DCA
1000,,,DCA,HOU
1001,,,MCI,DAL
1002,,,DAL,BWI
1003,,,ABQ,LAX
1004,,,LAX,ABQ
1005,,,ABQ,BWI
1006,,,DAL,ABQ
1007,,,SAN,SJC
1008,,,DCA,DAL
1009,,,ABQ,AUS
1010,,,PHX,ABQ
1011,,,DCA,HOU
1012,,,LBB,AUS
1013,,,AUS,ATL
1014,,,AUS,LBB
1015,,,SAT,DAL
1016,,,LAS,HOU
1017,,,ABQ,LAS
1018,,,OMA,DAL
1019,,,DAL,CMH
1020,,,DAL,MDW
1021,,,BUR,OAK
1022,,,DAL,DEN
1023,,,DAL,SFO
1024,,,BUR,OAK
1025,,,BWI,MHT
1026,,,TPA,BWI
1027,,,LAX,ABQ
1028,,,DAL,MDW
1029,,,LAS,PHX
1030,,,PHX,ELP
1031,,,LGA,ATL
1032,,,LBB,DAL
1033,,,DAL,MCI
1034,,,LGA,HOU
1035,,,DAL,SJC
1036,,,ABQ,OAK
1037,,,DAL,AUS
1038,,,DAL,LGA
1039,,,AMA,DAL
1040,,,LAS,OAK
1041,,,SAT,DAL
1042,,,DAL,STL
1043,,,LAX,SFO
1044,,,DAL,MAF
1045,,,OAK,ABQ
1046,,,MDW,LGA
1047,,,MDW,DAL
1048,,,OAK,ABQ
1049,,,MCO,DAL
1050,,,SJC,AUS
1051,,,SAN,PHX
1052,,,ABQ,DAL
1053,,,ABQ,PHX
1054,,,BOS,CMH
1055,,,BWI,BOS
1056,,,SAN,OAK
1057,,,FLL,TPA
1058,,,TPA,DCA
1059,,,LAX,SFO
1060,,,TUL,DAL
1061,,,DCA,STL
1062,,,CMH,DAL
1063,,,ABQ,PHX
1064,,,DAL,AMA
1065,,,SFO,LAS
1066,,,HRL,HOU
1067,,,STL,DAL
1068,,,DCA,AUS
1069,,,SAN,SFO
1070,,,CMH,TPA
1071,,,DEN,TPA
1072,,,HOU,DAL
1073,,,DAL,DEN
1074,,,ATL,DEN
1075,,,LAX,PDX
1076,,,PDX,STL
1077,,,ELP,DAL
1078,,,LAS,SNA
1079,,,EWR,IND
1080,,,DCA,FLL
1081,,,MCO,EWR
1082,,,IND,DAL
1083,,,BWI,MCO
1084,,,MDW,DCA
1085,,,BHM,MDW
1086,,,DAL,BHM
1087,,,SAN,SFO
1088,,,SAT,LAX
1089,,,MCI,SAT
1090,,,ATL,DCA
1091,,,SJC,RNO
1092,,,FLL,DCA
1093,,,MCO,ATL
1094,,,DCA,DAL
1095,,,CMH,DCA
1096,,,LAS,ABQ
1097,,,DEN,EWR
